epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,26798.3,1.53425,0.87032,0.9976,0.63128,0.40704,0.42082,0.22247,1.4766,0.80424,0.97927,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,27695.7,1.53589,0.87004,0.99792,0.62289,0.40596,0.42211,0.22324,1.47618,0.80378,0.97897,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,28601.8,1.53173,0.86506,0.99612,0.62242,0.40395,0.42251,0.22357,1.47549,0.803,0.97874,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,29492.8,1.52989,0.86284,0.9947,0.62808,0.40366,0.42333,0.22442,1.47504,0.80243,0.97848,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,30385,1.52474,0.85758,0.99241,0.62557,0.40409,0.42269,0.22462,1.47479,0.80197,0.97814,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,31274.1,1.52042,0.85288,0.99175,0.62228,0.40767,0.42444,0.22483,1.47403,0.8015,0.97793,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,32153.3,1.51905,0.85288,0.99192,0.63402,0.40448,0.42545,0.22534,1.47369,0.80107,0.9777,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,33046.5,1.51935,0.84864,0.98996,0.63096,0.40824,0.42609,0.2257,1.47357,0.80073,0.97737,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,33938.5,1.51531,0.84569,0.98956,0.63025,0.41039,0.4266,0.22576,1.47322,0.80033,0.97711,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,34830.8,1.51794,0.83566,0.99016,0.63078,0.40973,0.42719,0.22574,1.47295,0.80011,0.97697,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,35712.2,1.51378,0.82956,0.9878,0.63374,0.40941,0.42727,0.22624,1.47279,0.79972,0.97687,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,36595.9,1.5093,0.82412,0.98651,0.62912,0.40844,0.42724,0.22616,1.47257,0.79951,0.97665,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,37475.6,1.50663,0.82143,0.98535,0.63167,0.40813,0.42703,0.22573,1.47241,0.79916,0.97632,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,38348.7,1.50319,0.81719,0.98519,0.63046,0.40837,0.42697,0.22624,1.47215,0.7989,0.97616,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,39224.4,1.50054,0.8148,0.98386,0.6315,0.4096,0.42747,0.22648,1.47202,0.79879,0.97606,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,40097.4,1.49477,0.80989,0.98294,0.63091,0.41091,0.42696,0.22611,1.47178,0.7984,0.97596,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,40972.4,1.49435,0.8068,0.98139,0.63215,0.40937,0.42678,0.22609,1.47152,0.79834,0.97576,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,41848.7,1.49102,0.8022,0.98038,0.63502,0.40853,0.42819,0.22613,1.4714,0.79814,0.97566,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,42725.8,1.4851,0.79785,0.9788,0.641,0.4053,0.42851,0.22625,1.47135,0.79801,0.97558,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
