epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3857.43,1.41765,1.51056,1.49791,0.62851,0.55582,0.588,0.35386,1.46308,1.46264,1.55139,0.00492625,0.00492625,0.00492625
43,3963.8,1.40694,1.48325,1.49322,0.62244,0.54496,0.58821,0.35546,1.47059,1.45596,1.55667,0.0048025,0.0048025,0.0048025
44,4070.46,1.41181,1.48705,1.49213,0.66186,0.53307,0.589,0.35588,1.47901,1.44768,1.562,0.00467875,0.00467875,0.00467875
45,4175.41,1.41411,1.48824,1.4974,0.63164,0.55253,0.59831,0.36072,1.46864,1.44158,1.55206,0.004555,0.004555,0.004555
46,4282.49,1.39435,1.46477,1.47757,0.66625,0.53499,0.59557,0.36143,1.46307,1.44033,1.55229,0.00443125,0.00443125,0.00443125
47,4388.44,1.39111,1.45429,1.48157,0.65311,0.55584,0.60337,0.36692,1.46365,1.42783,1.54858,0.0043075,0.0043075,0.0043075
48,4492.98,1.40859,1.46137,1.48778,0.65619,0.55514,0.60046,0.36516,1.45971,1.4336,1.53751,0.00418375,0.00418375,0.00418375
49,4599.48,1.39437,1.46694,1.48315,0.66333,0.56235,0.60473,0.36587,1.4549,1.41441,1.53504,0.00406,0.00406,0.00406
50,4704.87,1.38443,1.43589,1.46608,0.6667,0.56208,0.61189,0.37228,1.4555,1.40787,1.5402,0.00393625,0.00393625,0.00393625
51,4810.71,1.38866,1.43728,1.47666,0.6591,0.54537,0.60841,0.37014,1.45562,1.40652,1.54287,0.0038125,0.0038125,0.0038125
52,4917.03,1.376,1.44041,1.46539,0.66405,0.55313,0.61118,0.37204,1.45692,1.4072,1.53809,0.00368875,0.00368875,0.00368875
53,5024.22,1.37804,1.43523,1.46941,0.67256,0.55269,0.61247,0.37313,1.46117,1.39816,1.54128,0.003565,0.003565,0.003565
54,5130.2,1.37142,1.4081,1.4579,0.66991,0.55083,0.61265,0.37561,1.44871,1.39408,1.52981,0.00344125,0.00344125,0.00344125
55,5235.77,1.36553,1.41279,1.45689,0.66796,0.563,0.6174,0.37511,1.45896,1.38392,1.54268,0.0033175,0.0033175,0.0033175
56,5341.03,1.37157,1.40706,1.45536,0.66271,0.56095,0.61554,0.37576,1.44511,1.38177,1.53554,0.00319375,0.00319375,0.00319375
57,5447.14,1.3545,1.38217,1.44651,0.66928,0.56263,0.61688,0.37816,1.45117,1.38109,1.53642,0.00307,0.00307,0.00307
58,5552.46,1.3639,1.39576,1.45177,0.67127,0.56351,0.61826,0.37875,1.44617,1.38451,1.53284,0.00294625,0.00294625,0.00294625
59,5658.94,1.3578,1.36786,1.44695,0.67418,0.56543,0.62306,0.38262,1.44792,1.36951,1.53025,0.0028225,0.0028225,0.0028225
60,5764.42,1.35006,1.36265,1.4428,0.67473,0.56119,0.62153,0.37971,1.4447,1.37109,1.5289,0.00269875,0.00269875,0.00269875
61,5870,1.34542,1.35379,1.43669,0.67774,0.56227,0.61964,0.3807,1.4463,1.3772,1.52884,0.002575,0.002575,0.002575
62,5975.9,1.34279,1.35499,1.43676,0.70464,0.55388,0.62086,0.38248,1.44278,1.37596,1.52479,0.00245125,0.00245125,0.00245125
63,6081.32,1.33774,1.339,1.43041,0.69069,0.56403,0.62463,0.38543,1.44089,1.37142,1.5184,0.0023275,0.0023275,0.0023275
64,6187.3,1.34028,1.33294,1.42934,0.68406,0.57175,0.62172,0.38217,1.44403,1.35954,1.52504,0.00220375,0.00220375,0.00220375
65,6292.89,1.33767,1.33928,1.4324,0.68187,0.56819,0.62306,0.38418,1.44208,1.36625,1.52206,0.00208,0.00208,0.00208
66,6398.17,1.32371,1.31005,1.41925,0.68466,0.56999,0.62198,0.38362,1.43972,1.36105,1.52391,0.00195625,0.00195625,0.00195625
67,6506.76,1.32794,1.32123,1.4172,0.68495,0.56434,0.62341,0.38494,1.4378,1.35559,1.51738,0.0018325,0.0018325,0.0018325
68,6611.32,1.31526,1.30317,1.41368,0.69309,0.56936,0.62839,0.388,1.43605,1.34988,1.5155,0.00170875,0.00170875,0.00170875
69,6718.04,1.31053,1.2889,1.41007,0.69309,0.57223,0.62821,0.38773,1.44062,1.34705,1.52081,0.001585,0.001585,0.001585
70,6823.63,1.31847,1.2931,1.41393,0.68919,0.56855,0.62893,0.38888,1.43663,1.34302,1.5156,0.00146125,0.00146125,0.00146125
71,6950.66,1.26017,1.14273,1.38307,0.68223,0.57617,0.62923,0.38786,1.43757,1.34176,1.51643,0.0013375,0.0013375,0.0013375
72,7055.42,1.25343,1.1152,1.38098,0.69418,0.57687,0.63255,0.39128,1.43891,1.34356,1.51361,0.00121375,0.00121375,0.00121375
73,7164.26,1.247,1.11843,1.37846,0.68477,0.58613,0.63253,0.39203,1.43438,1.34192,1.51491,0.00109,0.00109,0.00109
74,7274.21,1.24719,1.10797,1.37458,0.69348,0.585,0.6311,0.39162,1.43697,1.3368,1.52007,0.00096625,0.00096625,0.00096625
75,7380.77,1.23425,1.09345,1.36759,0.69638,0.57314,0.63183,0.39284,1.43823,1.33875,1.52202,0.0008425,0.0008425,0.0008425
76,7485.95,1.23389,1.0895,1.36618,0.70138,0.57088,0.63459,0.3941,1.43932,1.33583,1.52298,0.00071875,0.00071875,0.00071875
77,7590.8,1.23373,1.08181,1.36302,0.69984,0.57117,0.6345,0.39299,1.44,1.33868,1.52326,0.000595,0.000595,0.000595
78,7695.84,1.22483,1.07344,1.36144,0.6891,0.57876,0.63449,0.39198,1.44165,1.33951,1.52349,0.00047125,0.00047125,0.00047125
79,7800.7,1.22649,1.07857,1.36109,0.69494,0.57364,0.63429,0.39327,1.44085,1.33311,1.52227,0.0003475,0.0003475,0.0003475
80,7904.84,1.22022,1.06428,1.35406,0.69209,0.57477,0.63571,0.39322,1.43909,1.32841,1.52119,0.00022375,0.00022375,0.00022375
